username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
2AMDARKCELY,DEF,1,18,9,5,3185,0,0,18.0,9.0,5.0,3185.0,2.0,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
BRIDGE,ATK,1,12,6,5,1914,0,1,12.0,6.0,5.0,1914.0,2.0,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
2AMHERBO,ATK,1,13,7,4,2200,0,0,13.0,7.0,4.0,2200.0,1.86,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
MellyEra,ATK,1,9,5,3,1405,0,0,9.0,5.0,3.0,1405.0,1.8,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
DEIDREAMM,ATK,1,5,3,3,845,2,1,5.0,3.0,3.0,845.0,1.67,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
SKITLE6,ATK,12,125,80,75,25840,3,6,10.42,6.67,6.25,2153.33,1.56,12,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:21:15.596359
VUYFN,DEF,1,15,10,6,3157,0,0,15.0,10.0,6.0,3157.0,1.5,1,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:19:49.477809
NEWPLAYER399,DEF,3,39,28,17,6752,0,2,13.0,9.33,5.67,2250.67,1.39,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
ACEOFACTION,DEF,1,12,9,2,1669,2,0,12.0,9.0,2.0,1669.0,1.33,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
BROOKS,ATK,3,38,29,19,8110,3,1,12.67,9.67,6.33,2703.33,1.31,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
DHAP,DEF,3,27,21,19,5418,7,0,9.0,7.0,6.33,1806.0,1.29,3,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:20:33.410010
ISBYOUNGBILLIE,DEF,1,9,7,4,1843,4,1,9.0,7.0,4.0,1843.0,1.29,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
QUINTIN,DEF,4,45,37,26,11223,2,1,11.25,9.25,6.5,2805.75,1.22,4,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
ZMRBRATSO,ATK,2,17,14,10,3233,3,0,8.5,7.0,5.0,1616.5,1.21,2,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:40.259309
SCOPE,ATK,4,41,34,22,7890,14,1,10.25,8.5,5.5,1972.5,1.21,4,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
LAEHTO,DEF,1,6,5,3,907,5,0,6.0,5.0,3.0,907.0,1.2,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
AMASAP,ATK,1,13,11,5,2179,1,0,13.0,11.0,5.0,2179.0,1.18,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
XXCRIPPLEDDEERXX,ATK,1,7,6,8,1457,0,1,7.0,6.0,8.0,1457.0,1.17,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
HOLIDAY,ATK,1,8,7,4,1758,0,0,8.0,7.0,4.0,1758.0,1.14,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
Darkkk,DEF,1,8,7,2,1608,0,1,8.0,7.0,2.0,1608.0,1.14,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
YOTURTLE,DEF,2,19,17,5,3222,4,0,9.5,8.5,2.5,1611.0,1.12,2,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:20:02.995972
WASHERFLUID,ATK,2,14,13,7,2299,0,0,7.0,6.5,3.5,1149.5,1.08,2,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:20:02.995972
SURGICAL10,ATK,2,17,16,11,2974,0,1,8.5,8.0,5.5,1487.0,1.06,2,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:40.259309
MILKMANPM,DEF,2,15,15,13,3450,3,1,7.5,7.5,6.5,1725.0,1.0,2,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:40.259309
TWITCHE,DEF,1,9,9,2,1664,1,0,9.0,9.0,2.0,1664.0,1.0,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
SCUMBAGSWEATY,ATK,1,7,7,4,1257,0,1,7.0,7.0,4.0,1257.0,1.0,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
BIONICFORCA,ATK,1,8,8,5,1736,0,0,8.0,8.0,5.0,1736.0,1.0,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
NAUSEOUSFN,ATK,1,8,8,6,1496,0,0,8.0,8.0,6.0,1496.0,1.0,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
TRIUMPHETERNAL,ATK,1,11,11,5,2133,1,1,11.0,11.0,5.0,2133.0,1.0,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
HEARTMADDI,ATK,5,42,45,38,10966,0,1,8.4,9.0,7.6,2193.2,0.93,5,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
HYPHIN12,ATK,2,13,14,6,2356,0,0,6.5,7.0,3.0,1178.0,0.93,2,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
B TAP,DEF,1,10,11,6,1768,0,0,10.0,11.0,6.0,1768.0,0.91,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
RAVYN,ATK,4,37,41,22,7882,0,0,9.25,10.25,5.5,1970.5,0.9,4,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
ITZENDLESS,DEF,1,9,10,7,1646,0,0,9.0,10.0,7.0,1646.0,0.9,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
ANONYMOUS257,ATK,1,8,9,3,1493,0,0,8.0,9.0,3.0,1493.0,0.89,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
REIGNLAEHTO,ATK,1,8,9,4,1744,2,0,8.0,9.0,4.0,1744.0,0.89,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
HPT,ATK,1,8,9,5,2133,0,1,8.0,9.0,5.0,2133.0,0.89,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
LOOTVACUUMXO,ATK,3,25,30,22,5656,0,1,8.33,10.0,7.33,1885.33,0.83,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
C47DNN,DEF,1,5,6,13,1284,1,1,5.0,6.0,13.0,1284.0,0.83,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
GIZMO,ATK,1,4,5,2,425,0,0,4.0,5.0,2.0,425.0,0.8,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
BARNACLEBOY,ATK,1,7,9,1,1226,2,0,7.0,9.0,1.0,1226.0,0.78,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
MAKEITPUCKER,ATK,1,7,9,4,1211,3,0,7.0,9.0,4.0,1211.0,0.78,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
JVK3FARMTV,DEF,1,6,8,1,967,1,0,6.0,8.0,1.0,967.0,0.75,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
INVXDE,DEF,1,6,8,6,1046,1,0,6.0,8.0,6.0,1046.0,0.75,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
NT,DEF,1,6,8,0,1146,0,0,6.0,8.0,0.0,1146.0,0.75,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
F4TALITYSLAAYHG,ATK,1,6,8,6,1607,0,0,6.0,8.0,6.0,1607.0,0.75,1,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:19:49.477809
BLUEJ,ATK,1,5,7,5,1115,0,0,5.0,7.0,5.0,1115.0,0.71,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
PAPIPAVV,ATK,1,5,7,3,1497,2,0,5.0,7.0,3.0,1497.0,0.71,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
DARKTRXPP,DEF,1,6,9,4,1334,0,0,6.0,9.0,4.0,1334.0,0.67,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
STAN,DEF,4,30,45,44,11274,4,0,7.5,11.25,11.0,2818.5,0.67,4,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
CRIDGE,DEF,1,7,11,13,2061,0,0,7.0,11.0,13.0,2061.0,0.64,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
DUELIST,ATK,1,7,11,6,2491,0,1,7.0,11.0,6.0,2491.0,0.64,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
FREEMAN,ATK,1,7,11,6,1711,3,0,7.0,11.0,6.0,1711.0,0.64,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
RYNZO,DEF,1,7,11,5,1627,0,0,7.0,11.0,5.0,1627.0,0.64,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
AMDARKCEL,DEF,1,7,11,5,1529,0,0,7.0,11.0,5.0,1529.0,0.64,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
JUICETANK,DEF,1,5,8,5,1010,0,0,5.0,8.0,5.0,1010.0,0.62,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
TRIPPYPRODIGY,DEF,1,5,8,1,1209,0,1,5.0,8.0,1.0,1209.0,0.62,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
AEROS,ATK,3,16,26,15,3310,7,0,5.33,8.67,5.0,1103.33,0.62,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
BUBBA,ATK,1,3,5,4,671,0,1,3.0,5.0,4.0,671.0,0.6,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
TRIPZGAMING,DEF,1,4,7,9,1246,1,0,4.0,7.0,9.0,1246.0,0.57,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
VARGAS,ATK,1,4,7,2,925,0,0,4.0,7.0,2.0,925.0,0.57,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
TOSH,ATK,1,4,7,4,932,0,0,4.0,7.0,4.0,932.0,0.57,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
cautionsegirl,DEF,1,5,9,4,1388,0,0,5.0,9.0,4.0,1388.0,0.56,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
ANONYMOUS265,ATK,1,4,8,3,1742,0,1,4.0,8.0,3.0,1742.0,0.5,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
YAGIRLCADDY,ATK,1,5,11,5,988,2,0,5.0,11.0,5.0,988.0,0.45,1,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:19:49.477809
MERMAIDMAN,ATK,1,5,11,3,1447,0,0,5.0,11.0,3.0,1447.0,0.45,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
SKELETO,DEF,1,4,9,2,815,0,0,4.0,9.0,2.0,815.0,0.44,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
BOMBERNOAH9997,DEF,1,3,8,4,1406,0,0,3.0,8.0,4.0,1406.0,0.38,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
ZNIPENASTY,DEF,1,3,9,3,954,0,0,3.0,9.0,3.0,954.0,0.33,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
NORTHKTK,DEF,1,3,9,0,591,0,1,3.0,9.0,0.0,591.0,0.33,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
TRULYCTRYKAY,ATK,1,3,9,3,1048,1,1,3.0,9.0,3.0,1048.0,0.33,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
COOKGOTME,ATK,1,2,7,1,355,3,0,2.0,7.0,1.0,355.0,0.29,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
JAY,DEF,1,2,8,7,1221,0,1,2.0,8.0,7.0,1221.0,0.25,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
GIAMPAGS,DEF,1,2,10,1,384,3,0,2.0,10.0,1.0,384.0,0.2,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
